Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1,Column1,Column2
Sucker Brook,Cayuga,7,2015,C,7/17/2015,10/13/2015,13,1,42.900811,-76.528124,"(42.900811, -76.528124)",,
Cayuga Lake,Cayuga,7,2014,C,7/21/2014,10/20/2014,13,2,42.705718,-76.696105,"(42.705718, -76.696105)",,
Cayuga Lake,Seneca,8,2014,C,7/21/2014,10/20/2014,13,2,42.705718,-76.696105,"(42.705718, -76.696105)",,
Snyders Lake,Rensselaer,5,2014,C,7/2/2014,10/2/2014,13,2,42.6631012,-73.634697,"(42.6631012, -73.634697)",,
Long Pond,Rensselaer,5,2013,S,7/22/2013,10/20/2013,13,2,42.792099,-73.4386978,"(42.792099, -73.4386978)",,
Montgomery Lake,Sullivan,3,2013,C,7/14/2013,10/14/2013,13,8,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Oneida Lake,Oswego,7,2013,C,7/1/2013,10/2/2013,13,8,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Lake Anawanda,Sullivan,3,2013,C,7/15/2013,10/13/2013,13,8,41.8574982,-74.9628983,"(41.8574982, -74.9628983)",,
Lake Ronkonkoma,Suffolk,1,2013,C,7/30/2013,10/27/2013,13,1,40.821991,-73.11927,"(40.821991, -73.11927)",,
Tomahawk Lake,Orange,3,2013,HT,6/12/2013,9/11/2013,13,13,41.4091988,-74.2233963,"(41.4091988, -74.2233963)",,
Java Lake,Wyoming,8,2012,C,7/19/2012,10/20/2012,13,7,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Orange Lake,Orange,3,2018,C,8/6/2018,10/27/2018,12,7,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
Old Town Pond,Suffolk,1,2018,C,7/9/2018,9/29/2018,12,1,40.878721,-72.372558,"(40.878721, -72.372558)",,
Hyden Park Lake,Niagara,8,2018,C,7/13/2018,10/2/2018,12,1,43.100662,-79.022324,"(43.100662, -79.022324)",,
Tanglewood Lake,Steuben,8,2018,C,7/27/2018,10/20/2018,12,2,42.193635,-77.251116,"(42.193635, -77.251116)",,
Basic Creek Reservoir,Albany,4,2017,S,7/21/2017,10/13/2017,12,5,42.4812012,-74.0139008,"(42.4812012, -74.0139008)",,
Martlings Lake,Richmond,2,2017,HT,7/28/2017,10/20/2017,12,3,40.6222,-74.1167984,"(40.6222, -74.1167984)",,
Hollister Lake,Greene,4,2017,C,4/8/2017,6/30/2017,12,1,42.3095016,-73.8844986,"(42.3095016, -73.8844986)",,
Prestons Pond,Suffolk,1,2017,C,7/28/2017,10/20/2017,12,2,40.9030991,-72.8199005,"(40.9030991, -72.8199005)",,
Harlem Meer,New York,2,2017,C,7/21/2017,10/13/2017,12,12,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
St Lawrence River,St Lawrence,6,2017,S,4/8/2017,6/30/2017,12,1,44.889843,-75.120136,"(44.889843, -75.120136)",,
Silver Lake Reservoir,Richmond,2,2017,HT,7/28/2017,10/20/2017,12,3,40.62325,-74.096163,"(40.62325, -74.096163)",,
Hadlock Pond,Washington,5,2017,C,7/28/2017,10/20/2017,12,1,43.4236984,-73.5719986,"(43.4236984, -73.5719986)",,
Lake Mohegan,Westchester,3,2017,C,7/7/2017,9/29/2017,12,5,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Wainscott Pond,Suffolk,1,2017,C,7/28/2017,10/20/2017,12,12,40.9292984,-72.2425995,"(40.9292984, -72.2425995)",,
Halsey Pond,Westchester,3,2016,S,7/10/2016,10/2/2016,12,1,41.0290985,-73.8576965,"(41.0290985, -73.8576965)",,
Lake Temalo,Oswego,7,2016,C,7/29/2016,10/20/2016,12,1,43.2840004,-76.2594986,"(43.2840004, -76.2594986)",,
Oswego River,Oswego,7,2016,HT,7/10/2016,9/29/2016,12,2,43.397788,-76.471383,"(43.397788, -76.471383)",,
Java Lake,Wyoming,8,2016,C,7/22/2016,10/13/2016,12,3,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Oneida Lake,Oswego,7,2016,S,7/29/2016,10/20/2016,12,1,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Canadarago Lake,Otsego,4,2016,C,7/10/2016,9/29/2016,12,1,42.8153,-75.0061035,"(42.8153, -75.0061035)",,
Craine Lake,Madison,7,2015,HT,7/31/2015,10/20/2015,12,3,42.76085,-75.55753,"(42.76085, -75.55753)",,
Canandaigua Lake,Ontario,8,2015,HT,4/9/2015,6/30/2015,12,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)",,
Sixberry Lake,Jefferson,6,2015,C,7/8/2015,10/2/2015,12,1,44.2798004,-75.7750015,"(44.2798004, -75.7750015)",,
Roth Pond,Suffolk,1,2015,C,8/7/2015,10/27/2015,12,1,40.911804,-73.123789,"(40.911804, -73.123789)",,
Canandaigua Lake,Yates,8,2015,HT,4/9/2015,6/30/2015,12,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)",,
Pleasant Lake,Oswego,7,2015,HT,4/9/2015,6/30/2015,12,2,43.2354012,-76.222702,"(43.2354012, -76.222702)",,
Burden Lake,Rensselaer,5,2015,C,4/9/2015,6/30/2015,12,1,42.608922,-73.568627,"(42.608922, -73.568627)",,
Gilbert Lake,Otsego,4,2014,C,4/8/2014,6/30/2014,12,3,42.5800018,-75.1283035,"(42.5800018, -75.1283035)",,
Butterfield Lake,Jefferson,6,2014,C,8/6/2014,10/27/2014,12,2,44.3165016,-75.7751999,"(44.3165016, -75.7751999)",,
Old Town Pond,Suffolk,1,2014,C,7/9/2014,10/2/2014,12,1,40.878721,-72.372558,"(40.878721, -72.372558)",,
Lake Peekskill,Putnam,3,2014,HT,7/22/2014,10/13/2014,12,5,41.3395004,-73.8827972,"(41.3395004, -73.8827972)",,
Morningside Lake,Sullivan,3,2014,HT,7/30/2014,10/20/2014,12,1,41.75116,-74.651001,"(41.75116, -74.651001)",,
Black Lake,St Lawrence,6,2014,HT,7/29/2014,10/20/2014,12,4,44.5379982,-75.5688019,"(44.5379982, -75.5688019)",,
Engleville Pond,Schoharie,4,2014,C,7/30/2014,10/20/2014,12,1,42.757,-74.652298,"(42.757, -74.652298)",,
Oneida Lake,Oswego,7,2014,S,7/10/2014,9/29/2014,12,3,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Beaver Dam Lake,Orange,3,2014,HT,7/31/2014,10/20/2014,12,7,41.4420013,-74.1158981,"(41.4420013, -74.1158981)",,
Lake Mohegan,Westchester,3,2014,HT,7/20/2014,10/13/2014,12,10,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Wee Wah Lake,Orange,3,2014,HT,8/5/2014,10/25/2014,12,5,41.21707,-74.19247,"(41.21707, -74.19247)",,
Waneta Lake,Schuyler,8,2013,S,7/31/2013,10/23/2013,12,8,42.444741,-77.100706,"(42.444741, -77.100706)",,
Waneta Lake,Steuben,8,2013,S,7/31/2013,10/23/2013,12,8,42.444741,-77.100706,"(42.444741, -77.100706)",,
Oneida River,Onondaga,7,2013,S,8/1/2013,10/27/2013,12,3,43.210484,-76.266313,"(43.210484, -76.266313)",,
Summit Lake,Schoharie,4,2013,S,7/10/2013,9/29/2013,12,1,42.5831985,-74.5814972,"(42.5831985, -74.5814972)",,
Red House Lake,Cattaraugus,9,2013,S,7/10/2013,10/2/2013,12,3,42.1027985,-78.7445984,"(42.1027985, -78.7445984)",,
Somerset Lake,Delaware,4,2013,C,7/7/2013,10/2/2013,12,3,41.9101982,-75.2289963,"(41.9101982, -75.2289963)",,
Little We Wah Lake,Orange,3,2012,C,7/9/2012,9/29/2012,12,3,41.21171,-74.19939,"(41.21171, -74.19939)",,
Nassau Lake,Rensselaer,5,2012,S,8/3/2012,10/27/2012,12,8,42.5381012,-73.6037979,"(42.5381012, -73.6037979)",,
Mud Lake,Steuben,8,2012,S,7/25/2012,10/20/2012,12,3,42.4914017,-77.2791977,"(42.4914017, -77.2791977)",,
Honeoye Lake,Ontario,8,2012,S,6/20/2012,9/12/2012,12,7,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Craine Lake,Madison,7,2012,HT,7/7/2012,9/29/2012,12,7,42.76085,-75.55753,"(42.76085, -75.55753)",,
Wee Wah Lake,Orange,3,2012,HT,6/22/2012,9/17/2012,12,3,41.21707,-74.19247,"(41.21707, -74.19247)",,
Goose Pond,Queens,2,2018,HT,8/10/2018,10/27/2018,11,6,40.7118988,-73.7986984,"(40.7118988, -73.7986984)",,
Bowne Pond,Queens,2,2018,HT,5/17/2018,8/3/2018,11,7,40.770707,-73.808255,"(40.770707, -73.808255)",,
Duane Lake,Schenectady,4,2018,C,8/10/2018,10/27/2018,11,5,42.7490997,-74.1126022,"(42.7490997, -74.1126022)",,
Smith Pond,Steuben,8,2017,C,6/9/2017,8/25/2017,11,5,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
East Sidney Lake,Delaware,4,2017,S,8/11/2017,10/27/2017,11,3,42.3275986,-75.2145004,"(42.3275986, -75.2145004)",,
Putnam Lake,Putnam,3,2017,C,8/9/2017,10/27/2017,11,1,41.4664001,-73.5395966,"(41.4664001, -73.5395966)",,
Kirk Lake,Putnam,3,2017,C,7/28/2017,10/13/2017,11,1,41.385601,-73.7498016,"(41.385601, -73.7498016)",,
Silver Lake,Wyoming,8,2017,HT,8/11/2017,10/27/2017,11,6,42.69042,-78.02907,"(42.69042, -78.02907)",,
Clove Lake,Richmond,2,2017,HT,7/28/2017,10/13/2017,11,3,40.6167984,-74.1075974,"(40.6167984, -74.1075974)",,
Lawson Lake,Albany,4,2017,C,8/11/2017,10/27/2017,11,4,42.5391006,-73.9598999,"(42.5391006, -73.9598999)",,
Montgomery Lake,Sullivan,3,2017,C,7/14/2017,10/2/2017,11,6,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Kissena Lake,Queens,2,2016,C,7/15/2016,10/1/2016,11,7,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
Bedford Lake,Westchester,3,2016,HT,7/15/2016,9/29/2016,11,5,41.1948013,-73.7036972,"(41.1948013, -73.7036972)",,
Hiawatha Lake,Onondaga,7,2016,C,7/29/2016,10/13/2016,11,1,43.0257988,-76.1687012,"(43.0257988, -76.1687012)",,
Nassau Lake,Rensselaer,5,2016,HT,8/12/2016,10/28/2016,11,5,42.5381012,-73.6037979,"(42.5381012, -73.6037979)",,
Sucker Brook,Ontario,8,2016,C,8/12/2016,10/27/2016,11,2,42.875013,-77.276525,"(42.875013, -77.276525)",,
Montgomery Lake,Sullivan,3,2015,C,8/14/2015,10/30/2015,11,4,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Beaver Lake,Broome,7,2015,C,7/17/2015,10/2/2015,11,5,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Red House Lake,Cattaraugus,9,2015,S,8/14/2015,10/27/2015,11,3,42.1027985,-78.7445984,"(42.1027985, -78.7445984)",,
Harlem Meer,New York,2,2015,HT,7/31/2015,10/13/2015,11,11,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
Moon Lake,Jefferson,6,2015,HT,7/31/2015,10/13/2015,11,7,44.2542992,-75.732399,"(44.2542992, -75.732399)",,
Georgica Pond,Suffolk,1,2015,C,8/14/2015,10/27/2015,11,7,40.9390984,-72.2291031,"(40.9390984, -72.2291031)",,
Schroon Lake,Warren,5,2015,S,7/31/2015,10/13/2015,11,1,43.7747993,-73.7779999,"(43.7747993, -73.7779999)",,
Song Lake,Cortland,7,2014,HT,7/11/2014,9/29/2014,11,6,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Orange Lake,Orange,3,2014,HT,8/6/2014,10/20/2014,11,8,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
Buckingham Lake,Albany,4,2014,C,7/13/2014,9/29/2014,11,1,42.6635017,-73.8070984,"(42.6635017, -73.8070984)",,
Cossayuna Lake,Washington,5,2013,HT,8/6/2013,10/20/2013,11,5,43.2005997,-73.4234009,"(43.2005997, -73.4234009)",,
Lake Katonah,Westchester,3,2013,C,8/13/2013,10/27/2013,11,4,41.2853012,-73.6549988,"(41.2853012, -73.6549988)",,
Sleepy Hollow Lake,Greene,4,2013,HT,8/2/2013,10/20/2013,11,4,42.2943993,-73.8069,"(42.2943993, -73.8069)",,
Chautauqua Lake,Chautauqua,9,2012,HT,7/28/2012,10/10/2012,11,9,42.156238,-79.393483,"(42.156238, -79.393483)",,
Findley Lake,Chautauqua,9,2012,HT,8/6/2012,10/20/2012,11,4,42.1018982,-79.7261963,"(42.1018982, -79.7261963)",,
Oneida River,Onondaga,7,2012,S,7/13/2012,9/29/2012,11,1,43.210484,-76.266313,"(43.210484, -76.266313)",,
Buckingham Lake,Albany,4,2012,C,7/28/2012,10/13/2012,11,2,42.6635017,-73.8070984,"(42.6635017, -73.8070984)",,
Findley Lake,Chautauqua,9,2018,HT,8/17/2018,10/27/2018,10,5,42.1018982,-79.7261963,"(42.1018982, -79.7261963)",,
Skaneateles Lake,Onondaga,7,2018,HT,8/10/2018,10/20/2018,10,4,42.8451004,-76.3503036,"(42.8451004, -76.3503036)",,
Deer Lake,Dutchess,3,2018,S,8/10/2018,10/20/2018,10,1,41.9011,-75.032318,"(41.9011, -75.032318)",,
Hiawatha Lake,Onondaga,7,2018,C,7/20/2018,9/29/2018,10,2,43.0257988,-76.1687012,"(43.0257988, -76.1687012)",,
Keuka Lake,Steuben,8,2018,HT,8/17/2018,10/27/2018,10,4,42.4934006,-77.1395035,"(42.4934006, -77.1395035)",,
Bear Lake,Chautauqua,9,2018,S,7/20/2018,9/29/2018,10,1,42.351299,-79.385841,"(42.351299, -79.385841)",,
Java Lake,Wyoming,8,2018,HT,7/20/2018,9/29/2018,10,6,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Lake Peekskill,Putnam,3,2018,HT,7/6/2018,9/14/2018,10,6,41.3395004,-73.8827972,"(41.3395004, -73.8827972)",,
Lake Casse,Putnam,3,2018,C,8/6/2018,10/13/2018,10,6,41.3862991,-73.7099991,"(41.3862991, -73.7099991)",,
Georgica Pond,Suffolk,1,2018,C,7/20/2018,9/29/2018,10,10,40.9390984,-72.2291031,"(40.9390984, -72.2291031)",,
Turtle Pond,Oneida,6,2018,S,7/27/2018,10/2/2018,10,4,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Mariaville Lake,Schenectady,4,2018,C,8/3/2018,10/12/2018,10,5,42.8336983,-74.1119003,"(42.8336983, -74.1119003)",,
Putnam Lake,Putnam,3,2018,C,8/6/2018,10/13/2018,10,6,41.4664001,-73.5395966,"(41.4664001, -73.5395966)",,
Avon Marsh Dam Pond,Livingston,8,2018,HT,6/22/2018,8/31/2018,10,6,42.9011002,-77.668602,"(42.9011002, -77.668602)",,
Cayuga Lake,Tompkins,7,2017,HT,8/16/2017,10/27/2017,10,8,42.705718,-76.696105,"(42.705718, -76.696105)",,
Rockland Lake,Rockland,3,2017,C,8/11/2017,10/20/2017,10,4,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Lake Casse,Putnam,3,2017,S,7/21/2017,10/2/2017,10,4,41.3862991,-73.7099991,"(41.3862991, -73.7099991)",,
Cayuga Lake,Seneca,8,2017,HT,8/16/2017,10/27/2017,10,8,42.705718,-76.696105,"(42.705718, -76.696105)",,
Cayuga Lake,Cayuga,7,2017,HT,7/21/2017,9/29/2017,10,8,42.705718,-76.696105,"(42.705718, -76.696105)",,
Dryden Lake,Tompkins,7,2017,C,6/30/2017,9/8/2017,10,4,42.4620018,-76.2725983,"(42.4620018, -76.2725983)",,
Lake Peekskill,Putnam,3,2017,C,7/21/2017,9/29/2017,10,4,41.3395004,-73.8827972,"(41.3395004, -73.8827972)",,
Croton Falls Reservoir,Putnam,3,2017,S,7/21/2017,9/29/2017,10,2,41.3781013,-73.6547012,"(41.3781013, -73.6547012)",,
Hessian Lake,Rockland,3,2017,S,8/18/2017,10/27/2017,10,1,41.3153992,-73.9913025,"(41.3153992, -73.9913025)",,
Arctic Lake,Broome,7,2017,S,6/25/2017,9/1/2017,10,2,42.1792984,-75.4252014,"(42.1792984, -75.4252014)",,
Martlings Lake,Richmond,2,2016,C,8/18/2016,10/28/2016,10,1,40.6222,-74.1167984,"(40.6222, -74.1167984)",,
Gilbert Lake,Otsego,4,2016,S,8/14/2016,10/21/2016,10,4,42.5800018,-75.1283035,"(42.5800018, -75.1283035)",,
Peconic River,Suffolk,1,2016,C,8/19/2016,10/27/2016,10,1,40.916064,-72.694956,"(40.916064, -72.694956)",,
Cayuga Lake,Tompkins,7,2016,C,8/19/2016,10/27/2016,10,3,42.705718,-76.696105,"(42.705718, -76.696105)",,
Song Lake,Cortland,7,2016,HT,6/10/2016,8/22/2016,10,5,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Big Bowman Pond,Rensselaer,5,2016,C,8/19/2016,10/27/2016,10,2,42.6483002,-73.487999,"(42.6483002, -73.487999)",,
Cayuga Lake,Cayuga,7,2016,C,8/19/2016,10/27/2016,10,3,42.705718,-76.696105,"(42.705718, -76.696105)",,
Rockland Lake,Rockland,3,2016,S,6/2/2016,8/14/2016,10,5,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Lake Ontario,Orleans,8,2016,S,8/19/2016,10/27/2016,10,2,43.914122,-76.123662,"(43.914122, -76.123662)",,
Lake Ontario,Franklin,5,2016,S,8/19/2016,10/27/2016,10,2,43.914122,-76.123662,"(43.914122, -76.123662)",,
Mecox Bay,Suffolk,1,2016,C,8/19/2016,10/27/2016,10,3,40.9012985,-72.3333969,"(40.9012985, -72.3333969)",,
Fox Lake,Sullivan,3,2016,C,7/22/2016,10/2/2016,10,3,41.5918007,-74.9380035,"(41.5918007, -74.9380035)",,
Unnamed Pond Delta Lake SP,Oneida,6,2016,S,7/15/2016,9/23/2016,10,4,43.28994,-75.417986,"(43.28994, -75.417986)",,
Kellis Pond,Suffolk,1,2015,C,7/17/2015,9/25/2015,10,5,40.9272003,-72.3174973,"(40.9272003, -72.3174973)",,
Lake Of The Woods,Jefferson,6,2015,C,8/14/2015,10/20/2015,10,1,44.3153992,-75.7277985,"(44.3153992, -75.7277985)",,
Sepasco Lake,Dutchess,3,2015,C,8/21/2015,10/27/2015,10,3,41.9598007,-73.8376007,"(41.9598007, -73.8376007)",,
Morningside Lake,Sullivan,3,2015,HT,8/14/2015,10/20/2015,10,3,41.75116,-74.651001,"(41.75116, -74.651001)",,
Fort Pond,Suffolk,1,2015,C,7/24/2015,10/2/2015,10,6,41.0416985,-71.9532013,"(41.0416985, -71.9532013)",,
Friends Lake,Warren,5,2015,C,8/14/2015,10/20/2015,10,1,43.6259003,-73.8440018,"(43.6259003, -73.8440018)",,
Quaker Lake,Cattaraugus,9,2015,S,7/24/2015,9/29/2015,10,1,42.0433006,-78.8677979,"(42.0433006, -78.8677979)",,
Georgica Pond,Suffolk,1,2014,C,7/23/2014,10/2/2014,10,8,40.9390984,-72.2291031,"(40.9390984, -72.2291031)",,
Cayuga Lake,Tompkins,7,2014,C,7/21/2014,10/2/2014,10,2,42.705718,-76.696105,"(42.705718, -76.696105)",,
Wickapogue Pond,Suffolk,1,2014,C,6/25/2014,9/4/2014,10,9,40.8805008,-72.3676987,"(40.8805008, -72.3676987)",,
Port Bay,Wayne,8,2014,C,7/22/2014,9/29/2014,10,1,43.2975998,-76.8320999,"(43.2975998, -76.8320999)",,
Putnam Lake,Putnam,3,2014,HT,8/10/2014,10/20/2014,10,2,41.4664001,-73.5395966,"(41.4664001, -73.5395966)",,
Craine Lake,Madison,7,2014,HT,6/24/2014,9/3/2014,10,7,42.76085,-75.55753,"(42.76085, -75.55753)",,
Basic Creek Reservoir,Albany,4,2013,HT,8/12/2013,10/20/2013,10,2,42.4812012,-74.0139008,"(42.4812012, -74.0139008)",,
Lawson Lake,Albany,4,2013,HT,8/13/2013,10/20/2013,10,6,42.5391006,-73.9598999,"(42.5391006, -73.9598999)",,
Cazenovia Lake,Madison,7,2013,C,8/13/2013,10/20/2013,10,3,42.9482002,-75.8720016,"(42.9482002, -75.8720016)",,
Rockland Lake,Rockland,3,2012,S,8/20/2012,10/27/2012,10,1,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Diverting Reservoir,Putnam,3,2018,S,8/10/2018,10/13/2018,9,1,42.53676,-77.30129,"(42.53676, -77.30129)",,
Dean Pond,Cortland,7,2018,C,7/13/2018,9/14/2018,9,4,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Hyde Lake,Jefferson,6,2018,S,8/17/2018,10/20/2018,9,2,44.2435989,-75.8331985,"(44.2435989, -75.8331985)",,
Seneca Lake,Seneca,8,2018,HT,8/24/2018,10/27/2018,9,6,42.4424019,-76.884697,"(42.4424019, -76.884697)",,
Lake Ontario (Westcott),Jefferson,6,2018,S,8/17/2018,10/20/2018,9,1,43.914122,-76.123662,"(43.914122, -76.123662)",,
Long Pond,Dutchess,3,2018,S,8/24/2018,10/27/2018,9,1,42.792099,-73.4386978,"(42.792099, -73.4386978)",,
Tully Lake,Onondaga,7,2018,C,8/24/2018,10/27/2018,9,1,42.7764015,-76.1352005,"(42.7764015, -76.1352005)",,
Canandaigua Lake,Yates,8,2018,HT,8/24/2018,10/27/2018,9,7,42.7779999,-77.3050995,"(42.7779999, -77.3050995)",,
Round Lake,Orange,3,2018,S,8/17/2018,10/20/2018,9,1,42.9339981,-73.7828979,"(42.9339981, -73.7828979)",,
Beverly's Pond,Chemung,8,2018,S,8/17/2018,10/20/2018,9,1,40.938789,-72.685211,"(40.938789, -72.685211)",,
Barnum Pond,Franklin,5,2018,S,8/17/2018,10/20/2018,9,4,44.4599991,-74.2594986,"(44.4599991, -74.2594986)",,
The Pond in Central Park,New York,2,2018,C,7/27/2018,9/29/2018,9,1,40.69744,-73.97944,"(40.69744, -73.97944)",,
Little We Wah Lake,Orange,3,2017,C,8/18/2017,10/20/2017,9,2,41.21171,-74.19939,"(41.21171, -74.19939)",,
Ballston Lake,Saratoga,5,2017,C,7/21/2017,9/22/2017,9,3,42.9388008,-73.8578033,"(42.9388008, -73.8578033)",,
Winding Hills Park Lake,Orange,3,2017,C,4/8/2017,6/10/2017,9,2,41.5387993,-74.2752991,"(41.5387993, -74.2752991)",,
Marion Lake,Suffolk,1,2016,C,8/12/2016,10/13/2016,9,1,41.1254997,-72.3333969,"(41.1254997, -72.3333969)",,
Kirk Lake,Putnam,3,2016,C,7/29/2016,10/2/2016,9,3,41.385601,-73.7498016,"(41.385601, -73.7498016)",,
Pennellville Pond,Oswego,7,2016,C,7/29/2016,9/29/2016,9,1,43.2854004,-76.2677002,"(43.2854004, -76.2677002)",,
Croton Falls Reservoir,Putnam,3,2016,S,8/26/2016,10/27/2016,9,2,41.3781013,-73.6547012,"(41.3781013, -73.6547012)",,
Lake Ontario,Oswego,7,2016,S,8/19/2016,10/20/2016,9,2,43.914122,-76.123662,"(43.914122, -76.123662)",,
Muscoot Reservoir,Westchester,3,2016,S,8/26/2016,10/27/2016,9,1,41.2703018,-73.7113037,"(41.2703018, -73.7113037)",,
Morningside Pond,New York,2,2016,C,8/26/2016,10/27/2016,9,4,40.803761,-73.958943,"(40.803761, -73.958943)",,
Putnam Lake,Putnam,3,2016,C,7/29/2016,10/2/2016,9,3,41.4664001,-73.5395966,"(41.4664001, -73.5395966)",,
Oneida Lake,Madison,7,2016,S,7/29/2016,9/29/2016,9,1,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Lake Ontario,St Lawrence,6,2016,S,8/19/2016,10/20/2016,9,2,43.914122,-76.123662,"(43.914122, -76.123662)",,
Kellis Pond,Suffolk,1,2016,C,7/15/2016,9/16/2016,9,6,40.9272003,-72.3174973,"(40.9272003, -72.3174973)",,
Oneida River,Onondaga,7,2016,HT,8/28/2016,10/28/2016,9,4,43.210484,-76.266313,"(43.210484, -76.266313)",,
Niger Pond,Suffolk,1,2016,C,8/19/2016,10/20/2016,9,2,40.8989983,-72.8195038,"(40.8989983, -72.8195038)",,
Hyde Park Lake,Niagara,9,2016,C,8/19/2016,10/20/2016,9,1,43.100662,-79.022324,"(43.100662, -79.022324)",,
Wallkill River,Ulster,3,2016,HT,8/26/2016,10/28/2016,9,8,41.743866,-74.093447,"(41.743866, -74.093447)",,
Little Fresh Pond,Suffolk,1,2015,C,8/28/2015,10/27/2015,9,2,40.9182014,-72.4085007,"(40.9182014, -72.4085007)",,
Sixtown Pond,Jefferson,6,2015,S,8/28/2015,10/27/2015,9,4,43.8291467,-76.1264733,"(43.82914667, -76.12647333)",,
Seneca Lake,Seneca,8,2015,HT,8/21/2015,10/20/2015,9,4,42.4424019,-76.884697,"(42.4424019, -76.884697)",,
Peach Lake,Putnam,3,2015,C,8/28/2015,10/27/2015,9,2,41.362999,-73.5800018,"(41.362999, -73.5800018)",,
Roaring Brook Lake,Putnam,3,2015,HT,6/12/2015,8/14/2015,9,7,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Seneca Lake,Yates,8,2015,HT,8/21/2015,10/20/2015,9,4,42.4424019,-76.884697,"(42.4424019, -76.884697)",,
Canadarago Lake,Otsego,4,2015,C,8/28/2015,10/27/2015,9,2,42.8153,-75.0061035,"(42.8153, -75.0061035)",,
Brooks Lake,Richmond,2,2015,HT,8/28/2015,10/27/2015,9,2,40.6244011,-74.1203003,"(40.6244011, -74.1203003)",,
Mariaville Lake,Schenectady,4,2015,C,8/21/2015,10/20/2015,9,3,42.8336983,-74.1119003,"(42.8336983, -74.1119003)",,
Lake Ronkonkoma,Suffolk,1,2014,C,8/25/2014,10/27/2014,9,1,40.821991,-73.11927,"(40.821991, -73.11927)",,
Sodus Bay,Wayne,8,2013,C,8/27/2013,10/27/2013,9,1,43.2482986,-76.9585037,"(43.2482986, -76.9585037)",,
Congers Lake,Rockland,3,2013,HT,8/27/2013,10/27/2013,9,1,41.1427994,-73.9396973,"(41.1427994, -73.9396973)",,
Nassau Lake,Rensselaer,5,2013,C,7/25/2013,9/29/2013,9,2,42.5381012,-73.6037979,"(42.5381012, -73.6037979)",,
Laurel Lake,Broome,7,2013,C,8/22/2013,10/27/2013,9,1,42.0103989,-75.4803009,"(42.0103989, -75.4803009)",,
Kissena Lake,Queens,2,2013,S,8/28/2013,10/27/2013,9,2,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
Chenango Lake,Chenango,7,2013,C,8/27/2013,10/27/2013,9,1,42.5825996,-75.4412003,"(42.5825996, -75.4412003)",,
East Branch Hackensack River,Rockland,3,2013,S,8/1/2013,10/2/2013,9,9,41.121117,-73.960648,"(41.121117, -73.960648)",,
Grass Lake,St Lawrence,6,2013,C,8/27/2013,10/27/2013,9,9,44.3400002,-75.7152023,"(44.3400002, -75.7152023)",,
Lake Katonah,Westchester,3,2013,C,7/30/2013,9/30/2013,9,9,41.2853012,-73.6549988,"(41.2853012, -73.6549988)",,
Tomahawk Lake,Orange,3,2012,S,8/3/2012,10/2/2012,9,1,41.4091988,-74.2233963,"(41.4091988, -74.2233963)",,
Waneta Lake,Schuyler,8,2012,S,8/21/2012,10/24/2012,9,3,42.444741,-77.100706,"(42.444741, -77.100706)",,
Waneta Lake,Steuben,8,2012,S,8/21/2012,10/24/2012,9,3,42.444741,-77.100706,"(42.444741, -77.100706)",,
Somerset Lake,Delaware,4,2018,C,8/31/2018,10/27/2018,8,1,41.9101982,-75.2289963,"(41.9101982, -75.2289963)",,
Keuka Lake,Yates,8,2018,HT,8/17/2018,10/13/2018,8,4,42.4934006,-77.1395035,"(42.4934006, -77.1395035)",,
