Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1,Column1,Column2
Iroquois Lake,Schenectady,4,2016,C,10/7/2016,10/14/2016,1,1,42.801067,-73.911808,"(42.801067, -73.911808)",,
Oneida Lake,Onondaga,7,2016,S,7/29/2016,8/5/2016,1,1,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Long Pond,Chenango,7,2016,S,9/23/2016,10/2/2016,1,1,42.42023,-75.84813,"(42.42023, -75.84813)",,
Unnamed Pond Algonquin Park,Orange,3,2016,S,10/14/2016,10/21/2016,1,1,41.5219002,-74.0615005,"(41.5219002, -74.0615005)",,
Warn Lake,Chenango,7,2016,C,8/12/2016,8/19/2016,1,1,42.3745995,-75.6464005,"(42.3745995, -75.6464005)",,
Warners Lake,Albany,4,2016,C,6/24/2016,7/1/2016,1,1,42.6250992,-74.0791016,"(42.6250992, -74.0791016)",,
Bedford Lake,Westchester,3,2015,C,9/18/2015,9/25/2015,1,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)",,
Owasco Lake,Cayuga,7,2015,HT,10/9/2015,10/13/2015,1,1,42.8737984,-76.5281982,"(42.8737984, -76.5281982)",,
Conesus Creek,Livingston,8,2015,S,7/31/2015,8/7/2015,1,1,42.834736,-77.704561,"(42.834736, -77.704561)",,
East Caroga Lake,Fulton,5,2015,C,10/30/2015,11/6/2015,1,1,43.1278,-74.4800034,"(43.1278, -74.4800034)",,
Sodus Bay,Wayne,8,2015,C,6/9/2015,6/16/2015,1,1,43.2482986,-76.9585037,"(43.2482986, -76.9585037)",,
Wolf Lake,Sullivan,3,2015,C,4/9/2015,4/16/2015,1,1,41.5866013,-74.5880966,"(41.5866013, -74.5880966)",,
Arctic Lake,Broome,7,2015,S,9/18/2015,9/25/2015,1,1,42.1792984,-75.4252014,"(42.1792984, -75.4252014)",,
Tuxedo Lake,Orange,3,2015,C,7/31/2015,8/7/2015,1,1,41.2014999,-74.2058029,"(41.2014999, -74.2058029)",,
Waneta Lake,Schuyler,8,2015,S,9/25/2015,10/2/2015,1,1,42.444741,-77.100706,"(42.444741, -77.100706)",,
Waneta Lake,Schuyler,8,2015,S,9/25/2015,10/2/2015,1,1,42.444741,-77.100706,"(42.444741, -77.100706)",,
Casey Park Pond,Wayne,8,2014,S,10/24/2014,10/31/2014,1,1,43.2352982,-77.2974014,"(43.2352982, -77.2974014)",,
Grass Lake,Jefferson,6,2014,C,9/25/2014,9/29/2014,1,1,44.3400002,-75.7152023,"(44.3400002, -75.7152023)",,
Little We Wah Lake,Orange,3,2014,C,6/20/2014,6/30/2014,1,1,41.21171,-74.19939,"(41.21171, -74.19939)",,
Ballston Lake,Saratoga,5,2014,C,7/18/2014,7/25/2014,1,1,42.9388008,-73.8578033,"(42.9388008, -73.8578033)",,
White Birch Lake,Broome,7,2014,C,7/28/2014,8/4/2014,1,1,42.0404015,-75.6368027,"(42.0404015, -75.6368027)",,
Truesdale Lake,Westchester,3,2013,C,7/20/2013,7/26/2013,1,1,41.2817001,-73.5533981,"(41.2817001, -73.5533981)",,
Ellis Pond,Dutchess,3,2013,S,8/20/2013,8/27/2013,1,1,41.6825981,-73.5470963,"(41.6825981, -73.5470963)",,
Wolf Lake,Sullivan,3,2013,C,8/22/2013,8/29/2013,1,1,41.5866013,-74.5880966,"(41.5866013, -74.5880966)",,
Copake Lake,Columbia,5,2012,S,9/27/2012,10/4/2012,1,1,42.144001,-73.5954971,"(42.144001, -73.5954971)",,
Lake Lucille,Rockland,3,2012,C,7/3/2012,7/10/2012,1,1,41.1837006,-73.9978027,"(41.1837006, -73.9978027)",,
Lake Moraine,Madison,7,2012,C,9/23/2012,9/30/2012,1,1,42.8502007,-75.5222015,"(42.8502007, -75.5222015)",,
Allegheny Reservoir,Cattaraugus,9,2012,S,8/29/2012,9/5/2012,1,1,42.05595,-78.89069,"(42.05595, -78.89069)",,
Alma Pond,Allegany,9,2012,S,8/29/2012,9/5/2012,1,1,42.0140991,-78.0014038,"(42.0140991, -78.0014038)",,
